,state,year,GDP
0,United States,2013,48534
1,Alabama,2013,36674
2,Alaska,2013,69711
3,Arizona,2013,38352
4,Arkansas,2013,35888
5,California,2013,53838
6,Colorado,2013,50523
7,Connecticut,2013,62438
8,Delaware,2013,60738
9,District of Columbia,2013,159264
10,Florida,2013,38018
11,Georgia,2013,42513
12,Hawaii,2013,49484
13,Idaho,2013,34787
14,Illinois,2013,51919
15,Indiana,2013,43876
16,Iowa,2013,48034
17,Kansas,2013,45468
18,Kentucky,2013,38259
19,Louisiana,2013,43721
20,Maine,2013,37508
21,Maryland,2013,53751
22,Massachusetts,2013,61842
23,Michigan,2013,40992
24,Minnesota,2013,52023
25,Mississippi,2013,31952
26,Missouri,2013,42498
27,Montana,2013,38567
28,Nebraska,2013,51597
29,Nevada,2013,43074
30,New Hampshire,2013,48873
31,New Jersey,2013,55659
32,New Mexico,2013,39659
33,New York,2013,62320
34,North Carolina,2013,42909
35,North Dakota,2013,67755
36,Ohio,2013,45262
37,Oklahoma,2013,43317
38,Oregon,2013,48169
39,Pennsylvania,2013,48289
40,Rhode Island,2013,46367
41,South Carolina,2013,35716
42,South Dakota,2013,47003
43,Tennessee,2013,41513
44,Texas,2013,52007
45,Utah,2013,42306
46,Vermont,2013,42989
47,Virginia,2013,51112
48,Washington,2013,54197
49,West Virginia,2013,35772
50,Wisconsin,2013,45895
51,Wyoming,2013,60806
52,United States,2014,49329
53,Alabama,2014,36473
54,Alaska,2014,67179
55,Arizona,2014,38534
56,Arkansas,2014,36265
57,California,2014,55571
58,Colorado,2014,52105
59,Connecticut,2014,62023
60,Delaware,2014,63555
61,District of Columbia,2014,159369
62,Florida,2014,38466
63,Georgia,2014,43467
64,Hawaii,2014,49591
65,Idaho,2014,35173
66,Illinois,2014,52984
67,Indiana,2014,44818
68,Iowa,2014,49688
69,Kansas,2014,46235
70,Kentucky,2014,38336
71,Louisiana,2014,44475
72,Maine,2014,38149
73,Maryland,2014,54108
74,Massachusetts,2014,62528
75,Michigan,2014,41544
76,Minnesota,2014,53109
77,Mississippi,2014,31635
78,Missouri,2014,42527
79,Montana,2014,39319
80,Nebraska,2014,53109
81,Nevada,2014,43075
82,New Hampshire,2014,49623
83,New Jersey,2014,55563
84,New Mexico,2014,40769
85,New York,2014,63174
86,North Carolina,2014,43400
87,North Dakota,2014,70876
88,Ohio,2014,46671
89,Oklahoma,2014,45418
90,Oregon,2014,48130
91,Pennsylvania,2014,49228
92,Rhode Island,2014,46663
93,South Carolina,2014,36325
94,South Dakota,2014,47039
95,Tennessee,2014,41858
96,Texas,2014,52879
97,Utah,2014,43264
98,Vermont,2014,43222
99,Virginia,2014,50855
100,Washington,2014,55338
101,West Virginia,2014,36017
102,Wisconsin,2014,46456
103,Wyoming,2014,60853
104,United States,2015,50301
105,Alabama,2015,36818
106,Alaska,2015,65971
107,Arizona,2015,38787
108,Arkansas,2015,36295
109,California,2015,57637
110,Colorado,2015,53007
111,Connecticut,2015,62796
112,Delaware,2015,64809
113,District of Columbia,2015,159530
114,Florida,2015,39334
115,Georgia,2015,44246
116,Hawaii,2015,51052
117,Idaho,2015,35679
118,Illinois,2015,53709
119,Indiana,2015,44721
120,Iowa,2015,51379
121,Kansas,2015,46792
122,Kentucky,2015,38419
123,Louisiana,2015,44751
124,Maine,2015,38415
125,Maryland,2015,54661
126,Massachusetts,2015,64660
127,Michigan,2015,42594
128,Minnesota,2015,53257
129,Mississippi,2015,31714
130,Missouri,2015,42785
131,Montana,2015,40148
132,Nebraska,2015,54048
133,Nevada,2015,44057
134,New Hampshire,2015,51020
135,New Jersey,2015,56196
136,New Mexico,2015,41457
137,New York,2015,64286
138,North Carolina,2015,44180
139,North Dakota,2015,67618
140,Ohio,2015,47098
141,Oklahoma,2015,46370
142,Oregon,2015,49715
143,Pennsylvania,2015,50489
144,Rhode Island,2015,47519
145,South Carolina,2015,36952
146,South Dakota,2015,47980
147,Tennessee,2015,42902
148,Texas,2015,54200
149,Utah,2015,44392
150,Vermont,2015,43605
151,Virginia,2015,51486
152,Washington,2015,56617
153,West Virginia,2015,36233
154,Wisconsin,2015,47268
155,Wyoming,2015,61304
156,United States,2016,50660
157,Alabama,2016,37158
158,Alaska,2016,63304
159,Arizona,2016,38940
160,Arkansas,2016,36502
161,California,2016,58974
162,Colorado,2016,52863
163,Connecticut,2016,62745
164,Delaware,2016,63578
165,District of Columbia,2016,159141
166,Florida,2016,39608
167,Georgia,2016,45238
168,Hawaii,2016,51964
169,Idaho,2016,36256
170,Illinois,2016,54308
171,Indiana,2016,45717
172,Iowa,2016,52248
173,Kansas,2016,47548
174,Kentucky,2016,38736
175,Louisiana,2016,44440
176,Maine,2016,39125
177,Maryland,2016,55786
178,Massachusetts,2016,65168
179,Michigan,2016,43330
180,Minnesota,2016,54295
181,Mississippi,2016,32334
182,Missouri,2016,42736
183,Montana,2016,40041
184,Nebraska,2016,54660
185,Nevada,2016,44142
186,New Hampshire,2016,51827
187,New Jersey,2016,56428
188,New Mexico,2016,41334
189,New York,2016,64522
190,North Carolina,2016,44194
191,North Dakota,2016,64257
192,Ohio,2016,47419
193,Oklahoma,2016,44418
194,Oregon,2016,50751
195,Pennsylvania,2016,50978
196,Rhode Island,2016,47662
197,South Carolina,2016,37269
198,South Dakota,2016,48306
199,Tennessee,2016,43720
200,Texas,2016,53104
201,Utah,2016,44947
202,Vermont,2016,44354
203,Virginia,2016,51443
204,Washington,2016,57796
205,West Virginia,2016,36155
206,Wisconsin,2016,48063
207,Wyoming,2016,59327
208,United States,2017,51337
209,Alabama,2017,37508
210,Alaska,2017,63610
211,Arizona,2017,39583
212,Arkansas,2017,36714
213,California,2017,60359
214,Colorado,2017,54026
215,Connecticut,2017,62633
216,Delaware,2017,63955
217,District of Columbia,2017,159607
218,Florida,2017,39842
219,Georgia,2017,45925
220,Hawaii,2017,52869
221,Idaho,2017,36441
222,Illinois,2017,55102
223,Indiana,2017,46427
224,Iowa,2017,52284
225,Kansas,2017,47435
226,Kentucky,2017,39277
227,Louisiana,2017,44372
228,Maine,2017,39521
229,Maryland,2017,56375
230,Massachusetts,2017,66500
231,Michigan,2017,44201
232,Minnesota,2017,54805
233,Mississippi,2017,32447
234,Missouri,2017,43036
235,Montana,2017,39833
236,Nebraska,2017,54654
237,Nevada,2017,44812
238,New Hampshire,2017,52509
239,New Jersey,2017,56776
240,New Mexico,2017,41619
241,New York,2017,65220
242,North Carolina,2017,44706
243,North Dakota,2017,64911
244,Ohio,2017,48188
245,Oklahoma,2017,44535
246,Oregon,2017,51312
247,Pennsylvania,2017,51841
248,Rhode Island,2017,48314
249,South Carolina,2017,37637
250,South Dakota,2017,48004
251,Tennessee,2017,44348
252,Texas,2017,53737
253,Utah,2017,45493
254,Vermont,2017,44831
255,Virginia,2017,52124
256,Washington,2017,59333
257,West Virginia,2017,37353
258,Wisconsin,2017,48666
259,Wyoming,2017,61091
