,year,state,n_victims
0,2013,Alabama,12
1,2013,Arizona,24
2,2013,California,185
3,2013,Colorado,13
4,2013,Connecticut,15
5,2013,Delaware,13
6,2013,District of Columbia,44
7,2013,Florida,58
8,2013,Georgia,31
9,2013,Illinois,92
10,2013,Indiana,29
11,2013,Kansas,20
12,2013,Kentucky,13
13,2013,Louisiana,60
14,2013,Maryland,21
15,2013,Michigan,71
16,2013,Minnesota,8
17,2013,Mississippi,8
18,2013,Missouri,48
19,2013,Nebraska,4
20,2013,Nevada,4
21,2013,New Jersey,44
22,2013,New Mexico,9
23,2013,New York,71
24,2013,North Carolina,52
25,2013,Ohio,40
26,2013,Oklahoma,26
27,2013,Pennsylvania,71
28,2013,Rhode Island,8
29,2013,South Carolina,23
30,2013,Tennessee,43
31,2013,Texas,65
32,2013,Utah,5
33,2013,Virginia,32
34,2013,Washington,20
35,2013,West Virginia,10
36,2013,Wisconsin,4
37,2014,Alabama,916
38,2014,Alaska,78
39,2014,Arizona,442
40,2014,Arkansas,400
41,2014,California,2927
42,2014,Colorado,313
43,2014,Connecticut,281
44,2014,Delaware,231
45,2014,District of Columbia,390
46,2014,Florida,2336
47,2014,Georgia,1339
48,2014,Hawaii,21
49,2014,Idaho,57
50,2014,Illinois,2913
51,2014,Indiana,930
52,2014,Iowa,231
53,2014,Kansas,252
54,2014,Kentucky,512
55,2014,Louisiana,1386
56,2014,Maine,47
57,2014,Maryland,896
58,2014,Massachusetts,416
59,2014,Michigan,977
60,2014,Minnesota,279
61,2014,Mississippi,548
62,2014,Missouri,1030
63,2014,Montana,62
64,2014,Nebraska,199
65,2014,Nevada,303
66,2014,New Hampshire,60
67,2014,New Jersey,906
68,2014,New Mexico,172
69,2014,New York,1362
70,2014,North Carolina,1371
71,2014,North Dakota,39
72,2014,Ohio,1614
73,2014,Oklahoma,409
74,2014,Oregon,222
75,2014,Pennsylvania,1835
76,2014,Rhode Island,94
77,2014,South Carolina,970
78,2014,South Dakota,36
79,2014,Tennessee,1209
80,2014,Texas,2251
81,2014,Utah,131
82,2014,Vermont,47
83,2014,Virginia,862
84,2014,Washington,417
85,2014,West Virginia,189
86,2014,Wisconsin,624
87,2014,Wyoming,27
88,2015,Alabama,947
89,2015,Alaska,154
90,2015,Arizona,408
91,2015,Arkansas,400
92,2015,California,2821
93,2015,Colorado,458
94,2015,Connecticut,421
95,2015,Delaware,264
96,2015,District of Columbia,469
97,2015,Florida,2343
98,2015,Georgia,1691
99,2015,Hawaii,39
100,2015,Idaho,76
101,2015,Illinois,3510
102,2015,Indiana,1049
103,2015,Iowa,253
104,2015,Kansas,317
105,2015,Kentucky,655
106,2015,Louisiana,1399
107,2015,Maine,62
108,2015,Maryland,1187
109,2015,Massachusetts,491
110,2015,Michigan,995
111,2015,Minnesota,278
112,2015,Mississippi,557
113,2015,Missouri,1413
114,2015,Montana,72
115,2015,Nebraska,236
116,2015,Nevada,417
